joannezhao, 41983, Wed May 28 21:16:17 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 7
Sent AM_AVATAR_READY signal with AvatarID: 4



Sent AM_AVATAR_READY signal with AvatarID: 8Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 3

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 5Sent AM_AVATAR_READY signal with AvatarID: 6[Avatar 0] Turn 0: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 103: (0, 2) AM_AVATAR_MOVE Direction: NULL[Avatar 3] Turn 102: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 104: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 105: (1, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 7] Turn 106: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 107: (1, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 108: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 109: (1, 3) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 110: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 112: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 111: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 113: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 114: (2, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 7] Turn 115: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 8] Turn 116: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 117: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 118: (0, 3) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 119: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 121: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 120: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 122: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 124: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 123: (2, 1) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 8] Turn 125: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 126: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 127: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 128: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 130: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 129: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 131: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 7] Turn 133: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 132: (2, 2) AM_AVATAR_MOVE Direction: WEST
[Avatar 8] Turn 134: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 0] Turn 135: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 136: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 137: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 139: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 138: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 5] Turn 140: (0, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 141: (1, 2) AM_AVATAR_MOVE Direction: WEST
Maze solved in 142 turns
Hash: 3848001802l
