joannezhao, 47720, Wed May 28 21:13:33 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 1
Sent AM_AVATAR_READY signal with AvatarID: 2


Sent AM_AVATAR_READY signal with AvatarID: 5
Sent AM_AVATAR_READY signal with AvatarID: 3Sent AM_AVATAR_READY signal with AvatarID: 6
Sent AM_AVATAR_READY signal with AvatarID: 4

[Avatar 1] Turn 92: (0, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 93: (4, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 94: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 95: (0, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 96: (0, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 97: (1, 2) AM_AVATAR_MOVE Direction: NORTH
[Avatar 1] Turn 99: (0, 1) AM_AVATAR_MOVE Direction: WEST

[Avatar 2] Turn 100: (4, 1) AM_AVATAR_MOVE Direction: WEST[Avatar 0] Turn 98: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 101: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 102: (0, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 103: (0, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 104: (1, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 105: (2, 0) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 106: (0, 1) AM_AVATAR_MOVE Direction: NORTH[Avatar 2] Turn 107: (3, 1) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 108: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 109: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 5] Turn 110: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 6] Turn 111: (1, 1) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 112: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 115: (2, 0) AM_AVATAR_MOVE Direction: NULL

[Avatar 2] Turn 114: (2, 1) AM_AVATAR_MOVE Direction: NORTH[Avatar 1] Turn 113: (0, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 116: (0, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 5] Turn 117: (0, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 6] Turn 118: (1, 0) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 119: (2, 0) AM_AVATAR_MOVE Direction: NULL

[Avatar 1] Turn 120: (0, 0) AM_AVATAR_MOVE Direction: NORTH

[Avatar 5] Turn 124: (0, 0) AM_AVATAR_MOVE Direction: EAST[Avatar 3] Turn 122: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 4] Turn 123: (0, 0) AM_AVATAR_MOVE Direction: EAST[Avatar 2] Turn 121: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 125: (1, 0) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 126: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 128: (2, 0) AM_AVATAR_MOVE Direction: NULL


[Avatar 1] Turn 127: (0, 0) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 5] Turn 131: (0, 0) AM_AVATAR_MOVE Direction: SOUTH[Avatar 4] Turn 130: (0, 0) AM_AVATAR_MOVE Direction: SOUTH[Avatar 3] Turn 129: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 6] Turn 132: (1, 0) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 133: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 2] Turn 135: (2, 0) AM_AVATAR_MOVE Direction: NULL
[Avatar 3] Turn 136: (2, 0) AM_AVATAR_MOVE Direction: NULL


